Retailer,Product ID,Product Title,Brand,Variety,Organic,Selling Unit,Rows,Covered ZIPs,Covered Stores,Min Price,Median Price,Max Price,Median $/Each,Median $/Lb,Median Weight Lb,Count Min,Count Max
Amazon,B0147RRUJA,"Bristol Farms Yellow Banana, 1 Each",Bristol Farms,Standard Yellow Banana,False,Each,11,11,1,0.42,0.58,0.58,0.58,,,1,1
Amazon,B0787WRV9V,"Manzano Banana Conventional, 1 Each",Unbranded / Other,Manzano / Apple Banana,False,Each,5,5,1,0.7,0.7,0.7,0.7,,,1,1
Amazon,B0787Y4V6T,"Organic Banana, 1 Each",Brands Vary / Fresh Produce,Standard Yellow Banana,True,Each,484,484,1,0.25,0.33,0.74,0.33,,,1,1
Amazon,B07FYYKKQK,"Banana Conventional, 1 Each",Brands Vary / Fresh Produce,Standard Yellow Banana,False,Each,496,496,1,0.12,0.21,0.45,0.21,,,1,1
Amazon,B07ZLF9G83,Organic Banana Bunch (4-5 Count),Dole,Standard Yellow Banana,True,Bunch,643,643,1,0,1.49,1.49,,,,4,5
Amazon,B07ZLF9WQ5,Banana Bunch (4-5 Count),Brands Vary / Fresh Produce,Standard Yellow Banana,False,Bunch,236,236,1,0.99,0.99,0.99,,,,4,5
Amazon,B07ZLFKBFD,Organic Banana Bunch (4-5 Count),Unbranded / Other,Standard Yellow Banana,True,Bunch,210,210,1,1.49,1.49,1.49,,,,4,5
Amazon,B07ZLFPXHC,Banana Bunch (4-5 Count),Dole,Standard Yellow Banana,False,Bunch,647,647,1,0,0.99,0.99,,,,4,5
Amazon,B08FP6YJZL,Bananas,Brands Vary / Fresh Produce,Standard Yellow Banana,False,Unknown,7,7,1,0.21,0.52,0.52,,,,,
Amazon,B0B7P3T7ZB,"Cardenas Markets, Banana",Cardenas Markets,Standard Yellow Banana,False,Unknown,11,11,1,0.26,0.26,0.3,,,,,
Amazon,B0B9RYTWWV,Organic Banana,Dole,Standard Yellow Banana,True,Unknown,11,11,1,0.38,0.38,0.38,,,,,
Amazon,B0BHT8FWBJ,"Banana, 1 Each",Brands Vary / Fresh Produce,Standard Yellow Banana,False,Each,54,54,1,0.26,0.4,0.4,0.4,,,1,1
Amazon,B0FNNCZ18K,Organic Bananas Bunch,Winn-Dixie / Fresh Produce,Standard Yellow Banana,True,Bunch,13,13,1,2,2,2,,,,,
Amazon,B0FNND1QMS,"Bananas, Each",Winn-Dixie / Fresh Produce,Standard Yellow Banana,False,Each,10,10,1,0.3,0.3,0.3,0.3,,,,
Amazon,B0G499TZBW,Manzano Banana,Winn-Dixie / Fresh Produce,Manzano / Apple Banana,False,Unknown,5,5,1,1.3,1.3,1.3,,,,,
Amazon,B0GYPHC24L,"Bashas, Bananas",Bashas',Standard Yellow Banana,False,Unknown,26,26,1,0.75,0.75,0.75,,,,,
Amazon,B0GZDJVWJ1,"Bashas, Organic Bananas, 16 Ounce",Bashas',Standard Yellow Banana,True,Fixed Weight,26,26,1,0.98,0.98,0.98,,0.98,1,,
